1362	0	1
1363	0	2
1364	4	1
1365	1	6
1366	1	6
1367	0	7
1368	1	5
1369	3	4
1370	0	1
1371	1	5
1372	0	4
1373	1	5
1374	2	4
1375	0	2
1376	0	1
1377	0	5
1378	1	1
1379	0	4
1380	1	5
1381	2	2
1382	0	3
1383	0	7
1384	1	4
1385	1	4
1386	0	5
1387	2	4
1388	0	8
1389	1	3
1390	0	4
1391	3	4
1392	0	3
1393	1	8
1394	0	5
1395	1	5
1396	1	10
1397	1	9
1398	1	4
1399	0	2
1400	0	4
1401	1	5
1402	1	0
1403	0	2
1404	1	11
1405	0	7
1406	2	3
1407	0	3
1408	1	5
1409	1	1
1410	0	5
1411	1	5
1412	0	2
1413	0	6
1414	0	5
1415	0	2
1416	1	4
1417	1	5
1418	1	3
1419	0	6
1420	2	4
1421	0	1
1422	0	1
1423	0	1
1424	0	1
1425	1	2
1426	0	5
1427	0	2
1428	2	5
1429	1	10
1430	0	6
1431	0	7
1432	0	7
1433	2	4
1434	0	8
1435	0	7
1436	1	2
1437	0	8
1438	1	1
1439	0	3
1440	0	8
1441	0	1
1442	1	11
1443	0	5
1444	0	5
1445	1	6
1446	0	2
1447	0	4
1448	1	4
1449	0	3
1450	0	6
1451	0	2
1452	0	4
1453	2	5
1454	1	2
1455	2	5
1456	0	4
1457	1	0
1458	0	1
1459	1	6
1460	0	4
1461	0	5
1462	1	5
1463	0	1
1464	1	4
1465	0	5
1466	1	5
1467	0	5
1468	1	3
1469	1	4
1470	1	5
1471	2	2
1472	0	4
1473	2	2
1474	3	6
1475	0	4
1476	0	7
1477	1	4
1478	3	4
1479	0	5
1480	1	5
1481	1	2
1482	0	2
1483	1	5
1484	1	0
1485	0	4
1486	0	4
1487	1	2
1488	0	9
1489	0	5
1490	0	4
1491	1	4
1492	2	4
1493	1	4
1494	0	8
1495	1	3
1496	0	1
1497	0	5
1498	0	6
1499	3	3
1500	1	3
1501	0	3
1502	2	5
1503	3	2
1504	3	3
1505	1	8
1506	1	6
1507	1	3
1508	1	1
1509	0	5
1510	2	5
1511	0	6
1512	0	5
1513	0	1
1514	3	4
1515	4	4
1516	0	4
1517	2	3
1518	1	5
1519	1	1
1520	1	1
1521	0	4
1522	2	2
1523	0	7
1524	2	7
1525	1	5
1526	0	7
1527	0	5
1528	1	4
1529	1	3
1530	1	4
1531	1	4
1532	1	5
1533	0	7
1534	1	8
1535	0	2
1536	0	1
1537	1	4
1538	1	4
1539	2	3
1540	0	1
1541	0	5
1542	1	3
1543	1	8
1544	0	6
1546	1	4
1547	4	2
1548	1	4
1549	1	6
1550	0	4
1551	1	4
1552	1	4
1553	1	6
1554	2	9
1555	0	2
1556	1	4
1557	0	4
1558	2	7
1559	1	2
1560	2	5
1561	1	3
1562	1	3
1563	0	4
1564	0	2
1565	1	4
1566	2	8
1567	1	8
1568	1	5
1569	0	7
1570	2	6
1571	0	2
1572	0	2
1573	3	3
1574	2	4
1575	0	3
1576	2	7
1577	0	6
1578	1	2
1579	3	6
1580	0	6
1581	1	7
1582	0	2
1583	1	8
1584	0	4
1585	0	3
1586	1	7
1587	0	6
1588	0	4
1589	0	6
1590	2	9
1591	0	2
1592	0	2
1593	0	3
1594	1	6
1595	0	1
1597	2	7
1598	1	5
1599	1	7
1600	0	7
1601	0	6
1602	0	6
1603	0	3
1604	0	3
1605	0	6
1606	0	2
1607	0	6
1608	1	9
1609	0	7
1610	0	4
1611	2	4
1612	0	4
1613	2	9
1614	1	2
1615	0	6
1616	2	4
1617	0	8
1618	1	10
1619	0	5
1620	0	3
1621	0	2
1622	1	4
1623	0	4
1624	0	4
1625	1	4
1626	2	6
1627	0	7
1628	0	7
1629	1	4
1630	1	6
1631	1	5
1632	1	4
1633	1	5
1634	0	6
1635	0	3
1636	1	5
1637	1	7
1638	0	4
1639	0	3
1640	0	4
1641	0	7
1642	0	3
1643	0	2
1644	1	3
1645	4	4
1646	1	3
1647	1	4
1648	1	6
1649	2	5
1650	0	4
1651	1	5
1652	0	3
1653	0	4
1654	3	3
1655	3	7
1656	1	2
1657	1	5
1658	3	2
1659	0	4
1660	1	4
1661	0	4
1662	1	4
1663	0	6
1664	4	0
1665	1	3
1666	0	1
1667	1	4
1668	1	4
1669	3	1
1670	1	3
1671	0	6
1672	0	7
1673	0	5
1674	0	4
1675	0	4
1676	0	3
1677	0	5
1678	0	3
1679	0	3
1680	1	4
1681	0	2
1682	1	3
1683	0	3
1684	0	2
1685	0	6
1686	1	6
1687	1	2
1688	0	3
1689	3	5
1690	0	4
1691	1	2
1692	0	8
1693	1	4
1694	0	4
1695	1	4
1696	1	4
1697	2	3
1698	1	3
1699	1	3
1700	0	6
1701	0	2
1702	0	2
1703	1	4
1704	1	5
1705	0	8
1706	0	5
1707	0	3
1708	2	6
1709	2	2
1710	1	4
1711	0	5
1712	3	3
1713	1	0
1714	0	2
1715	0	3
1716	2	3
1717	0	7
1718	2	6
1719	2	4
1720	1	5
1721	0	2
1722	1	3
1723	1	4
1724	0	1
1725	0	2
1726	1	5
1727	1	7
1728	2	3
1729	1	3
1730	0	3
1731	1	1
1732	1	8
1733	1	5
1734	0	8
1735	0	6
1736	2	9
1737	1	4
1738	1	1
1739	1	7
1740	0	2
1741	0	6
1742	0	5
1743	2	6
1744	1	3
1745	0	6
1746	2	3
1747	1	2
1748	0	4
1749	0	10
1750	2	5
1751	1	5
1752	0	5
1753	1	4
1754	0	6
1755	1	2
1756	0	3
1757	3	2
1758	2	3
1759	1	5
1760	0	2
1761	1	5
1762	2	4
1763	2	1
1764	3	1
1765	1	4
1766	0	4
1767	0	3
1768	1	3
1769	0	5
1770	1	4
1771	0	3
1772	1	4
1773	1	3
1774	0	6
1775	1	4
1776	2	1
1777	1	5
1778	1	7
1779	0	6
1780	0	3
1781	0	1
1782	2	3
1783	3	7
1784	1	1
1785	1	1
1786	1	8
1787	0	6
1788	2	6
1789	0	2
1790	0	2
1791	1	4
1792	0	6
1793	0	3
1794	1	2
1795	0	1
1796	2	3
1797	1	5
1798	0	4
1799	1	1
1800	1	12
1801	0	4
1802	0	1
1803	1	1
1804	0	2
1805	0	2
1806	1	3
1807	0	2
1808	2	3
1809	1	6
1810	0	3
1811	0	3
1812	1	3
1813	2	5
1814	1	7
1815	0	2
1816	0	10
1817	0	5
1818	0	4
1819	1	3
1820	1	2
1821	0	2
1822	0	4
1823	0	5
1824	2	5
1825	2	5
1826	0	2
1827	1	2
1828	0	2
1829	0	1
1830	1	3
1831	1	3
1832	1	2
1833	1	5
1834	0	4
1835	1	6
1836	1	4
1837	1	3
1838	1	4
1839	2	2
1840	0	1
1842	0	5
1843	2	5
1844	0	6
1845	0	1
1846	2	3
1847	2	1
1848	1	2
1849	1	3
1850	2	3
1851	1	2
1852	1	5
1853	0	5
1854	3	3
1855	2	4
1856	2	3
1857	0	2
1858	0	5
1859	0	8
1860	0	4
1861	1	5
1862	0	8
1863	1	4
1864	0	3
1865	0	1
1866	0	5
1867	1	3
1868	0	7
1869	0	2
1870	0	6
1871	1	7
1872	1	5
1873	1	3
1874	0	1
1875	1	3
1876	2	4
1877	6	2
1878	4	4
1879	0	1
1880	1	2
1881	1	5
1882	1	8
1883	0	4
1884	3	8
1885	1	9
1886	1	10
1887	0	5
1888	0	7
1889	2	6
1890	1	3
1891	2	7
1892	1	4
1893	1	5
1894	2	6
1895	1	1
1896	0	1
1897	1	2
1898	0	7
1899	0	5
1900	2	2
1901	0	4
1902	0	3
1903	4	6
1904	2	7
1905	0	3
1906	0	8
1907	1	4
1908	0	9
1909	2	6
1910	1	4
1911	1	3
1912	1	5
1913	1	4
1914	2	4
1915	0	4
1916	0	8
1917	1	4
1918	1	5
1919	0	7
1920	0	5
1921	2	3
1922	1	6
1923	0	4
1924	1	6
1925	1	7
1926	0	4
1927	3	3
1928	0	7
1929	0	8
1930	0	5
1931	0	4
1932	1	7
1933	5	3
1934	1	5
1935	1	4
1936	3	7
1937	3	8
1938	1	4
1939	1	5
1940	1	4
1941	1	6
1942	1	6
1943	0	1
1944	3	1
1945	0	2
1946	2	7
1947	0	5
1948	0	4
1949	1	4
1950	1	6
1951	1	4
1952	3	5
1953	0	3
1954	0	5
1955	0	4
1956	2	2
1957	1	2
1958	1	8
1959	0	5
1960	0	4
1961	1	5
1962	1	3
1963	1	3
1964	2	4
1965	1	2
1966	0	4
1967	0	4
1968	0	2
1969	1	3
1970	1	4
1971	1	6
1972	0	1
1973	0	5
1974	0	2
1975	0	2
1976	1	0
1977	1	2
1978	1	6
1979	0	5
1980	1	4
1981	0	5
1983	3	4
1984	1	3
1985	0	6
1986	0	5
1987	1	4
1988	1	5
1989	0	4
1990	1	4
1991	0	4
1992	1	4
1993	0	7
1994	0	4
1995	0	4
1996	0	3
1997	0	5
1998	2	4
1999	0	2
2000	1	7
2001	2	1
2002	1	5
2003	1	5
2004	1	1
2005	0	3
2006	0	7
2007	0	8
2008	1	4
2009	0	3
2010	0	6
2011	0	4
2012	2	4
2013	2	4
2014	0	3
2015	1	1
2016	0	2
2017	0	2
2018	2	4
2019	0	8
2020	0	2
2021	0	5
2022	0	1
2023	5	4
2024	0	7
2025	0	6
2026	1	2
2027	2	3
2028	0	8
2029	0	2
2030	0	3
2031	0	4
2032	0	3
2033	5	7
2034	1	3
2035	0	3
2036	0	10
2037	1	4
2038	0	1
